id,uid,valid_card,token,invalid_card,month,year,ccv,ccv_amex,user_id,dt_current_timestamp
9038,71778206-c133-4484-afaa-0685547f51c6,9800-2136-1115-9598,tok_discover,4000000000000028,02,2025,793,7464,a9e7f4c0-3d79-446b-b44e-55ae3ee05b9f,2024-01-17 20:09:47
9396,8e9fc092-1b3f-4603-b0d1-3d93d28b1809,1515-4294-7863-3975,tok_visa,4000000000000101,06,2030,456,3044,1ff091de-d15c-480c-917f-9ed7442ad73e,2024-01-17 20:09:47
2595,5681165f-c292-4476-a947-98b05713bd1d,5058-1206-1827-7811,tok_visa,4000000000000028,04,2030,129,2252,094bd1b3-540e-4129-9d58-8c11e31625f6,2024-01-17 20:09:47
3639,ca82c541-cddd-420f-b955-b38c6478e04c,4780-3071-3590-3003,tok_discover,4000000000000028,10,2025,562,6765,91701ee9-5b0a-411c-82a6-112f3a0c1145,2024-01-17 20:09:47
1224,6149da12-0e58-4137-8533-ec467bc832cd,2238-4558-8304-5811,tok_mastercard,4000000000000028,08,2022,689,9476,608f4b82-69f5-4c6e-8734-9b5d5b4c7788,2024-01-17 20:09:47
8594,a6325553-7588-4e3b-b60d-fdc85f48b847,3527-5467-2482-7477,tok_discover,4000000000000101,09,2022,504,7610,9e410645-96ff-4964-93bf-53a1ea42252f,2024-01-17 20:09:47
8257,70db396a-e1f1-43a0-85be-57e0751a524b,2390-4808-3222-3975,tok_mastercard,4000000000000101,06,2023,989,4478,15ecf9b6-769f-400e-8174-a1963254a5bd,2024-01-17 20:09:47
1255,7b1acbb2-8d5e-41cb-92df-ba60d3f9a29a,6237-1990-4533-3683,tok_mastercard,4000000000000101,10,2023,269,8114,1028627a-cb0f-4e34-84ed-f950a5f8f4a1,2024-01-17 20:09:47
9611,e55aeeb3-a9da-4a5e-b8b2-85ee581b320a,3773-7564-9424-3948,tok_discover,4000000000000101,09,2025,734,1514,54e08e9e-cf86-4a36-830f-306d1c030fec,2024-01-17 20:09:47
9111,ffaedc63-82fc-4af9-9788-7de1de71316f,3151-4086-4605-7620,tok_mastercard,4000000000000028,07,2021,622,2607,c8f68cbf-cc2d-459a-8a43-803159dc69d4,2024-01-17 20:09:47
8167,32019b39-d46d-4581-9aa3-e57f0caf1177,4708-9241-7925-1104,tok_discover,4000000000000028,12,2025,638,2730,75408989-3d96-453a-8820-4034967afe5f,2024-01-17 20:09:47
5149,e9e0f21a-e7cd-4fab-bd50-67ec73ca1c61,8875-7601-1746-4159,tok_mastercard,4000000000000028,08,2022,335,8124,78bced13-a288-402f-bfc1-daa3821a9e06,2024-01-17 20:09:47
9670,b905a98e-9c23-4884-8398-7a8a11a4e2dc,8416-2162-1049-2363,tok_visa,4000000000000101,11,2027,812,3164,814a91eb-b265-4ab2-ab45-f483883090db,2024-01-17 20:09:47
6050,ba43c095-a777-4c73-afa2-524918391779,6201-9001-4270-6220,tok_mastercard,4000000000000044,01,2022,994,9531,0cfd47b2-5724-4576-8dfc-af3cc54c8dd3,2024-01-17 20:09:47
2580,4cf0818e-dc12-4bbe-be77-bffb8fb68e88,4026-8092-2821-9203,tok_visa,4000000000000028,06,2026,705,8663,fb24c384-57b4-49cb-8b8f-744712ab3955,2024-01-17 20:09:47
2855,3381ab2d-3af8-4032-8cbf-e6582654fd07,7052-5733-7438-6303,tok_mastercard,4000000000000101,01,2029,913,4542,a64d4e8f-8c92-41dd-850b-999d32ab356f,2024-01-17 20:09:47
6782,66db4217-92dc-4c0c-b816-a7bacaf70fa2,2971-4392-8319-2837,tok_visa,4000000000000044,04,2022,864,6946,1d3e46b9-6033-4df1-88a0-4d364df83183,2024-01-17 20:09:47
7703,d60c8191-5fc4-4233-8c13-d086a748dd03,5504-2852-9400-3147,tok_mastercard,4000000000000101,11,2025,215,3293,478ab6e6-d34f-492c-abd4-122609e4ebe1,2024-01-17 20:09:47
2074,7500068d-502a-46ea-970f-c601eeac5533,2285-2264-5471-7425,tok_visa,4000000000000044,04,2022,329,6469,2f583958-0e38-4a13-83b9-a84ae893fd67,2024-01-17 20:09:47
6900,403c642a-83e0-4579-83e4-657729cf262a,1458-4753-1217-9802,tok_mastercard,4000000000000044,02,2029,187,9285,2fed7efd-b80e-41e4-bb53-f9b530af95c7,2024-01-17 20:09:47
6344,a8eaaf74-e53c-4fd9-8185-637594493dc8,2895-1434-2939-8351,tok_mastercard,4000000000000044,01,2022,885,1336,0c104669-9c2e-4ec7-9d8c-62729a0d7138,2024-01-17 20:09:47
7942,10b06143-fff1-429e-a4c8-243980fd9ebd,8421-3143-8942-1123,tok_discover,4000000000000044,03,2028,898,1540,acd835a2-af25-4248-aab3-0d10e5c164bc,2024-01-17 20:09:47
6141,91c62604-fba6-413f-8e14-0dbd4b5201be,1171-8319-1753-1518,tok_mastercard,4000000000000028,08,2029,248,7407,0665e6b7-4473-4f8e-8efb-ceed13a56bf0,2024-01-17 20:09:47
4634,dfce410d-2223-458e-8be7-f3829ce8cbe5,8641-8580-8458-6950,tok_discover,4000000000000044,09,2029,505,8781,ee0e1914-ebb5-441d-ada0-208788563e1e,2024-01-17 20:09:47
6098,cacae65c-a621-48ad-96ad-c40369a069ca,5867-7313-1271-8376,tok_discover,4000000000000101,08,2028,694,1410,5be51729-ebf9-4990-9bcc-a1b8fcc83e79,2024-01-17 20:09:47
8978,973c0176-1570-418e-b568-c1815fb6b342,2578-5864-3888-9984,tok_visa,4000000000000044,04,2027,623,9713,efab600e-8e6d-40bb-b42f-6d8f700602ff,2024-01-17 20:09:47
6143,b14260b4-4dec-4545-8526-9fb155f1afcb,1875-2209-1104-8563,tok_discover,4000000000000028,04,2025,564,1526,71da65cf-48ce-4e01-b7f0-b15c8791803f,2024-01-17 20:09:47
6107,0da68510-cb24-4f4d-854f-1fcb3de3a424,9858-8141-7706-8950,tok_discover,4000000000000101,02,2026,323,9765,a7b01227-ca09-493f-8fd3-dc8d14a4195b,2024-01-17 20:09:47
2352,eaddcc9c-869a-43b9-b741-b6723b63198d,4819-2497-6256-5671,tok_mastercard,4000000000000101,03,2028,829,7499,ce518211-e4e5-4899-a936-9d43295a2b2e,2024-01-17 20:09:47
2394,2eeac86a-3400-4c37-a2dc-ff4aaa99722e,3396-6666-2993-5378,tok_discover,4000000000000044,01,2028,866,7821,ade693b4-350d-4704-9dab-58cd60ca2668,2024-01-17 20:09:47
5229,4fbd32de-4659-40c9-8d11-78c968b5a345,8467-6075-9186-3413,tok_mastercard,4000000000000028,05,2030,177,8810,5094c72b-6c23-4ad4-b2a9-769253ac342b,2024-01-17 20:09:47
4228,566ea7f3-da45-4045-9511-2e8748b93e08,3115-5431-2292-4230,tok_discover,4000000000000044,12,2022,436,3612,40ad9fb1-0c57-4bc3-a4d3-50d4cfe58021,2024-01-17 20:09:47
9320,08844ca6-dee1-40de-b889-438965a2ad03,2818-6207-8705-1322,tok_visa,4000000000000101,02,2029,131,9768,8ddeec69-b4fa-4246-acea-fc8f273b5c59,2024-01-17 20:09:47
3592,2a3df69b-7b7b-4be7-ae18-fbd0756be73b,9410-5716-8484-9147,tok_discover,4000000000000044,02,2022,264,2974,148a912a-5c2e-49d7-a4cf-6502aad4db4f,2024-01-17 20:09:47
6878,d512d5cf-b4ea-4c82-a016-d4796d53dfb4,2195-8681-7549-6124,tok_visa,4000000000000101,02,2021,211,3336,60a8ef55-2666-407a-9d78-78b7e8c33e1f,2024-01-17 20:09:47
1701,36604e7c-7846-419c-9764-6bf3b11cf920,6282-8759-8164-6706,tok_mastercard,4000000000000101,06,2026,884,7281,1622a9a5-e094-4f61-be0a-43faf36506f6,2024-01-17 20:09:47
2599,8e3639cd-8958-4887-b0d9-fe8ac4374424,9222-9659-3990-6659,tok_discover,4000000000000044,01,2027,257,5539,70dd62d3-0080-4b07-82dd-0a62628728bc,2024-01-17 20:09:47
9478,c0e16a5f-b280-4cad-9540-01acdadc5853,9982-9328-7738-3546,tok_mastercard,4000000000000044,07,2028,669,3433,e9a94db2-c927-4093-b403-ab55cdd58ab0,2024-01-17 20:09:47
4577,caaee60a-4a57-4591-8f88-849321f8c441,1410-2443-7152-7530,tok_mastercard,4000000000000101,11,2029,860,1109,fb6756f5-672e-4d83-aee5-9bd5a765bea5,2024-01-17 20:09:47
6074,3d2d6933-22ee-4e7f-a84d-39592c009b71,4687-5928-3102-3866,tok_visa,4000000000000028,07,2028,563,6543,17bbbb39-be82-44ee-aadd-75ac699395f5,2024-01-17 20:09:47
7832,0d27e1c4-0a17-41ff-95d1-d6ff84e83d4b,3270-6082-5465-9989,tok_visa,4000000000000044,08,2022,836,5179,1c968d84-763e-42d5-99bb-9369b8996019,2024-01-17 20:09:47
5488,2855332b-93c2-43af-ac16-efad16049d6c,7128-5129-7663-9042,tok_discover,4000000000000028,10,2021,707,7486,9d5eb260-b0c9-4cfa-a3d8-adeabf043f39,2024-01-17 20:09:47
4367,49589a42-668d-4ba3-b904-574db9b76287,2665-7205-5281-6436,tok_discover,4000000000000101,01,2029,123,4063,c016fba7-7053-4a25-b4b3-2e4c3a40ccc1,2024-01-17 20:09:47
8968,a22f6e87-15fb-45fb-b256-db535428becf,6304-4400-7585-6803,tok_discover,4000000000000028,07,2026,333,3499,152807b4-f8b8-4e1d-be76-2a45ef782659,2024-01-17 20:09:47
1114,add2f701-7678-49fa-b982-5597c6337583,5849-7457-8747-9800,tok_discover,4000000000000044,06,2028,432,1032,a0358dca-2a1b-4f8e-bc69-6e01594f5f3d,2024-01-17 20:09:47
7056,cc15f87a-2f0b-4118-8e10-89ec8b8cb0bb,3251-9968-6770-3895,tok_mastercard,4000000000000028,01,2025,827,3136,d2a41ccb-be09-4765-becd-a55074c13ef6,2024-01-17 20:09:47
8342,b484f519-a4e4-46e9-bcb4-5bcde97a24fc,3305-3169-3845-1975,tok_discover,4000000000000028,02,2021,200,3666,7186c85c-f2be-46ca-8065-98c4c0189bfe,2024-01-17 20:09:47
2904,07407068-ef48-48b5-9545-47075dcf3f05,1509-6763-9052-9276,tok_visa,4000000000000044,11,2029,663,9303,de1cb292-a6e7-4fd3-9038-9aaedef9b26d,2024-01-17 20:09:47
9290,d9cfb600-3b9c-4c6a-802d-2504026df4d7,5185-6167-2567-3173,tok_discover,4000000000000044,03,2022,758,1469,8b1d07f9-c73d-4bbc-b3be-a0a1187fa94e,2024-01-17 20:09:47
5019,0b796ccc-9faf-4ef6-9e93-794c8bbfd995,9058-9397-1317-2967,tok_visa,4000000000000044,08,2029,887,8492,5e157048-3d84-4221-9126-9e0edfccba75,2024-01-17 20:09:47
2780,e611352f-5e2e-405b-a6ec-289e10b50b22,4178-8447-9599-4035,tok_visa,4000000000000044,01,2026,321,4422,9e88d0b8-563f-4575-bf3f-d0e3c3525348,2024-01-17 20:09:47
4154,072e5491-816e-4d7d-a8c3-9994c1bb0dd0,8895-2936-7123-7656,tok_visa,4000000000000101,10,2028,658,9641,74398328-a9b4-4c91-a205-8de841ba979f,2024-01-17 20:09:47
1821,8a75f046-d34b-4f29-a932-548f762c737b,4302-3065-1810-1876,tok_discover,4000000000000028,06,2027,677,9784,bf26ba48-fb77-42d7-9023-773b00f2b855,2024-01-17 20:09:47
