id,uid,account_number,iban,bank_name,routing_number,swift_bic,user_id,dt_current_timestamp
300,a4b5d22d-295f-404f-8a4e-f1c9423c041e,6024613906,IBAN34697566454000804710,Banco del Futuro,8978539714,SWIFTHU0LRJTM,6808a3b8-2230-4027-97d3-e2eb67a2d3e2,2024-01-16 19:05:58
301,f755a3e0-9df6-44e9-bfa2-144b5f718d6a,5049408763,IBAN71191484445782575533,Liberty Banking Corp,3164693012,SWIFT18W3ZP2I,a94c130f-fc56-4f58-ac71-c7ef4b0a446a,2024-01-16 19:05:58
302,cde24d26-3ec4-45c3-85b0-c546ee398706,6964588997,IBAN60317418063776639496,Banco del Futuro,4575617743,SWIFTHL6WAZG0,24cf2eea-b334-40f8-bd56-d5da6b6cf291,2024-01-16 19:05:58
303,6ac67bcb-bfce-400c-9e82-8b263c1ba638,2079645873,IBAN57217410308112858547,Zhongxin Jinrong,5931173244,SWIFTLWLE7OXO,5db08085-3b32-4ad8-b5bf-de23d33db48a,2024-01-16 19:05:58
304,8eb6c082-91e4-4740-a140-cac8ba0363be,1069476485,IBAN54690084779969866521,Silverline Financial,2191305303,SWIFTP9SQ19WC,6aae6fbf-1a35-428f-9d72-ed1f2378fcf5,2024-01-16 19:05:58
305,e50de22a-62ee-4389-b9a2-65d2cde5be28,7185798030,IBAN13945046032285953403,Oceanic Capital,6304688411,SWIFTI44Q1UFN,d4daf90e-92ec-411e-a8fd-cc67847b4c8b,2024-01-16 19:05:58
306,1f1e088e-0647-4083-bcf9-516eaa802e00,6395993477,IBAN93929467737338371318,Oceanic Capital,0528660900,SWIFTUO4G0NP8,1de5f09a-10c6-4bc1-a7fd-3f5fd4628e60,2024-01-16 19:05:58
307,6a34e278-32b5-41ac-bbf7-057036de1851,8110697468,IBAN99261119821745437036,Global Trust Bank,5376232582,SWIFTVBXQP2VK,83110bd1-8c45-4d58-a7a9-71c74a4bfdec,2024-01-16 19:05:58
308,bb0b5dc5-3baf-42ae-ba59-5f9bf476bd48,7934577935,IBAN78131023670117624571,Finance Royale,6026906876,SWIFTC31W30C4,51266c9c-c77f-4afd-af22-4d3a14b7fa3f,2024-01-16 19:05:58
309,7def9a46-b1bb-4647-afaa-ebe70e7fb74b,9824076189,IBAN20044942743234294102,Finance Royale,9099199533,SWIFTSJP5NVHE,ae22a074-813a-4a50-b3da-cb6f880c82a9,2024-01-16 19:05:58
310,917e692e-1e1d-41ca-818c-c3e84b1f721f,2448149930,IBAN89511435274335974673,Finance Royale,3680329368,SWIFT6AUI05QH,052acbd1-43f7-4d59-8213-f91fafc0bf98,2024-01-16 19:05:58
311,691ba1fb-57ec-488a-8b45-c21dd159207c,8380945149,IBAN62220449257018945557,Banco del Futuro,0509717058,SWIFTY93D5SEV,c4c04ad5-18c7-4095-853e-0875496ee797,2024-01-16 19:05:58
312,82a0aa4f-2b1b-49d2-b1c4-88d4fb95b4a8,6169135290,IBAN74936731119565601976,Zhongxin Jinrong,2113422732,SWIFTBBEDEG9G,9d460064-ec5a-4881-a01b-ea4b2dd36bbf,2024-01-16 19:05:58
313,7deeb414-2bc9-4ff0-b170-54a2e3ac61d0,6284976880,IBAN51934126944414867188,Liberty Banking Corp,3238938461,SWIFTB3EKK5YO,ffbc1596-f012-4146-9161-0e26b261e429,2024-01-16 19:05:58
