id,uid,account_number,iban,bank_name,routing_number,swift_bic,user_id,dt_current_timestamp
20000,272429d3-3d84-49e9-9486-fdf9bf543faa,6524388716,IBAN52432688875603747818,Banco del Futuro,4202997269,SWIFT1Q3NPZWO,c693482a-c2ec-4178-bab1-f6ec3704849b,2026-03-05 09:25:29
20001,2c06929e-4278-404a-b614-8ea01dac2652,2269503448,IBAN68214899095190524863,Oceanic Capital,3833809202,SWIFTPWBVDH71,3f7a2b6d-0812-49a7-be48-2b5ce5da9f9c,2026-03-05 09:25:29
20002,7cdb0417-8566-4e2b-90b8-a813cee513c5,5766681329,IBAN67860695625451071484,Zhongxin Jinrong,5199280607,SWIFT5IK05WQX,010430a1-0c76-4725-990a-256c1dfe019e,2026-03-05 09:25:29
20003,468383cf-93da-472b-947c-411ea229f1a8,4305338329,IBAN91396813370793173080,Silverline Financial,8164956673,SWIFT5KNZAW5N,0dd73d70-947a-4fdf-9da0-c29397f3d89e,2026-03-05 09:25:29
20004,1b4c262b-1884-4863-beef-e6b47e80a86f,6698597842,IBAN82519208063247403840,Banque du Soleil,4861522389,SWIFT3PDNF590,5a370dbc-130c-48ff-b576-f76afc1fc763,2026-03-05 09:25:29
20005,b6087e58-3f9a-42a1-a311-f07ff03eacbc,1109818529,IBAN20902653095221400746,Zhongxin Jinrong,5014085393,SWIFTKEDLMKMP,e52b4947-8e78-4cac-acec-af0cee129c4e,2026-03-05 09:25:29
20006,5840728c-ac44-406d-9b2e-cdc9b1b4e80c,7909151308,IBAN50000900329903692853,Oceanic Capital,5153639867,SWIFTAQZAVC3L,caa8e518-c09f-4015-b1fb-aab0c8450c10,2026-03-05 09:25:29
20007,393d5da7-11c4-4eaa-8ff7-79519cf2d1a2,8418106216,IBAN56556516381860612248,Silverline Financial,5759070922,SWIFTZWBF04AO,65345790-0aaa-4c85-900b-1be7a9d8b158,2026-03-05 09:25:29
20008,86cf07b9-f3e9-426f-b3f1-6f6fd4e99963,1623050314,IBAN13689490577225119014,Pinnacle Funds,5972462464,SWIFTDXDSWDUK,2ce1077b-87d8-41e2-9c17-3031b1c51c3e,2026-03-05 09:25:29
20009,cfd89639-2051-4de2-8c5a-edc137e3689d,7349978749,IBAN09097379944233791304,Finance Royale,1399273965,SWIFTN27UUPH3,adb9fb9c-4193-47d9-9cd5-8d639a31e914,2026-03-05 09:25:29
20010,9e735783-c92d-400e-9128-2de796222b70,7744602728,IBAN29118520835297575226,Finance Royale,7447278669,SWIFT9RRD7QYL,9030bce8-a058-4a39-aada-42d8fa278937,2026-03-05 09:25:29
20011,305c112f-78d3-420a-aadc-ae444ff53570,0601971057,IBAN64000708719108355182,Pinnacle Funds,1706103163,SWIFT3QZ4DQYD,7e042332-7aab-44ae-b995-0e9dcbb707ea,2026-03-05 09:25:29
